Name:  ALHA 77005
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77005
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample (USNM sample No. ALHA 77005.38).
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.achondrite.shergottite.fine.a77005.ancillary.txt

 9.837	 1.451
 9.819	 1.453
 9.800	 1.461
 9.781	 1.473
 9.763	 1.475
 9.745	 1.491
 9.726	 1.515
 9.708	 1.505
 9.690	 1.506
 9.672	 1.534
 9.654	 1.551
 9.636	 1.557
 9.618	 1.577
 9.600	 1.595
 9.582	 1.595
 9.565	 1.604
 9.547	 1.619
 9.530	 1.628
 9.512	 1.627
 9.495	 1.637
 9.477	 1.643
 9.460	 1.650
 9.443	 1.644
 9.426	 1.619
 9.409	 1.586
 9.392	 1.563
 9.375	 1.524
 9.358	 1.495
 9.341	 1.470
 9.324	 1.437
 9.307	 1.405
 9.291	 1.377
 9.274	 1.349
 9.257	 1.328
 9.241	 1.307
 9.225	 1.292
 9.208	 1.274
 9.192	 1.272
 9.175	 1.272
 9.159	 1.270
 9.143	 1.274
 9.127	 1.275
 9.111	 1.275
 9.095	 1.273
 9.079	 1.280
 9.063	 1.299
 9.047	 1.299
 9.032	 1.292
 9.016	 1.304
 9.000	 1.309
 8.985	 1.293
 8.969	 1.288
 8.954	 1.298
 8.938	 1.300
 8.923	 1.295
 8.908	 1.297
 8.892	 1.292
 8.877	 1.271
 8.862	 1.262
 8.847	 1.240
 8.832	 1.207
 8.817	 1.194
 8.802	 1.189
 8.787	 1.182
 8.772	 1.169
 8.757	 1.167
 8.742	 1.160
 8.727	 1.157
 8.713	 1.165
 8.698	 1.158
 8.684	 1.139
 8.669	 1.136
 8.655	 1.134
 8.640	 1.124
 8.626	 1.132
 8.612	 1.147
 8.597	 1.156
 8.583	 1.163
 8.569	 1.175
 8.555	 1.193
