Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

 9.837	 1.166
 9.819	 1.154
 9.800	 1.167
 9.781	 1.180
 9.763	 1.190
 9.745	 1.201
 9.726	 1.218
 9.708	 1.243
 9.690	 1.272
 9.672	 1.300
 9.654	 1.328
 9.636	 1.357
 9.618	 1.381
 9.600	 1.414
 9.582	 1.444
 9.565	 1.464
 9.547	 1.485
 9.530	 1.496
 9.512	 1.508
 9.495	 1.519
 9.477	 1.514
 9.460	 1.517
 9.443	 1.529
 9.426	 1.517
 9.409	 1.503
 9.392	 1.492
 9.375	 1.482
 9.358	 1.460
 9.341	 1.434
 9.324	 1.421
 9.307	 1.405
 9.291	 1.387
 9.274	 1.363
 9.257	 1.346
 9.241	 1.336
 9.225	 1.333
 9.208	 1.328
 9.192	 1.321
 9.175	 1.321
 9.159	 1.325
 9.143	 1.331
 9.127	 1.338
 9.111	 1.339
 9.095	 1.348
 9.079	 1.350
 9.063	 1.342
 9.047	 1.343
 9.032	 1.349
 9.016	 1.336
 9.000	 1.328
 8.985	 1.322
 8.969	 1.296
 8.954	 1.282
 8.938	 1.269
 8.923	 1.248
 8.908	 1.244
 8.892	 1.257
 8.877	 1.264
 8.862	 1.260
 8.847	 1.255
 8.832	 1.235
 8.817	 1.214
 8.802	 1.196
 8.787	 1.177
 8.772	 1.174
 8.757	 1.189
 8.742	 1.200
 8.727	 1.200
 8.713	 1.192
 8.698	 1.169
 8.684	 1.150
 8.669	 1.147
 8.655	 1.146
 8.640	 1.141
 8.626	 1.130
 8.612	 1.138
 8.597	 1.147
 8.583	 1.151
 8.569	 1.159
 8.555	 1.172
 8.541	 1.182
 8.527	 1.200
 8.513	 1.222
 8.499	 1.241
 8.485	 1.253
 8.471	 1.277
 8.457	 1.317
 8.443	 1.342
 8.430	 1.369
 8.416	 1.407
 8.402	 1.440
 8.389	 1.477
 8.375	 1.528
 8.361	 1.567
 8.348	 1.608
 8.335	 1.653
 8.321	 1.696
 8.308	 1.744
 8.295	 1.804
 8.281	 1.854
 8.268	 1.895
 8.255	 1.941
 8.242	 1.993
 8.229	 2.041
 8.216	 2.084
 8.203	 2.127
 8.190	 2.168
 8.177	 2.205
 8.164	 2.246
 8.151	 2.283
 8.138	 2.323
 8.126	 2.366
 8.113	 2.397
 8.100	 2.429
 8.088	 2.471
 8.075	 2.503
 8.062	 2.537
 8.050	 2.576
 8.037	 2.610
 8.025	 2.643
 8.013	 2.679
 8.000	 2.716
 7.988	 2.753
 7.976	 2.789
 7.963	 2.815
 7.951	 2.844
 7.939	 2.879
 7.927	 2.905
 7.915	 2.924
 7.903	 2.951
 7.891	 2.986
 7.879	 3.021
 7.867	 3.050
 7.855	 3.069
 7.843	 3.095
 7.831	 3.128
 7.819	 3.154
 7.808	 3.179
 7.796	 3.201
 7.784	 3.223
 7.772	 3.245
 7.761	 3.272
 7.749	 3.298
 7.737	 3.321
 7.726	 3.342
 7.715	 3.362
 7.703	 3.377
 7.692	 3.393
 7.680	 3.408
 7.669	 3.418
 7.657	 3.431
 7.646	 3.442
 7.635	 3.451
 7.624	 3.459
 7.613	 3.475
 7.601	 3.493
 7.590	 3.508
 7.579	 3.529
 7.568	 3.544
 7.557	 3.554
 7.546	 3.574
 7.535	 3.600
 7.524	 3.617
 7.513	 3.631
 7.502	 3.650
 7.492	 3.673
 7.481	 3.699
 7.470	 3.711
 7.459	 3.727
 7.449	 3.744
 7.438	 3.755
 7.427	 3.774
 7.417	 3.793
 7.406	 3.808
 7.395	 3.831
 7.385	 3.853
 7.374	 3.871
 7.364	 3.892
 7.353	 3.916
 7.343	 3.936
 7.333	 3.960
 7.322	 3.982
 7.312	 4.003
 7.302	 4.020
 7.291	 4.028
 7.281	 4.041
 7.271	 4.064
 7.261	 4.088
 7.251	 4.106
 7.240	 4.127
 7.230	 4.145
 7.220	 4.166
 7.210	 4.183
 7.200	 4.199
 7.190	 4.223
 7.180	 4.243
 7.170	 4.255
 7.160	 4.271
 7.151	 4.285
 7.141	 4.297
 7.131	 4.313
 7.121	 4.332
 7.111	 4.352
 7.102	 4.373
 7.092	 4.392
 7.082	 4.412
 7.072	 4.428
 7.063	 4.447
 7.053	 4.467
 7.044	 4.486
 7.034	 4.506
 7.025	 4.523
 7.015	 4.548
 7.006	 4.576
 6.996	 4.591
 6.987	 4.609
 6.977	 4.625
 6.968	 4.634
 6.959	 4.647
 6.949	 4.660
 6.940	 4.674
 6.931	 4.692
 6.921	 4.705
 6.912	 4.710
 6.903	 4.718
 6.894	 4.731
 6.885	 4.736
 6.875	 4.736
 6.866	 4.735
 6.857	 4.747
 6.848	 4.760
 6.839	 4.772
 6.830	 4.787
 6.821	 4.798
 6.812	 4.795
 6.803	 4.807
 6.794	 4.818
 6.785	 4.827
 6.777	 4.844
 6.768	 4.858
 6.759	 4.865
 6.750	 4.875
 6.741	 4.886
 6.733	 4.888
 6.724	 4.889
 6.715	 4.884
 6.707	 4.881
 6.698	 4.886
 6.689	 4.886
 6.681	 4.879
 6.672	 4.877
 6.663	 4.878
 6.655	 4.871
 6.646	 4.853
 6.638	 4.837
 6.629	 4.846
 6.621	 4.853
 6.612	 4.850
 6.604	 4.854
 6.596	 4.858
 6.587	 4.856
 6.579	 4.860
 6.571	 4.873
 6.562	 4.887
 6.554	 4.893
 6.546	 4.901
 6.537	 4.911
 6.529	 4.919
 6.521	 4.925
 6.513	 4.931
 6.505	 4.932
 6.496	 4.929
 6.488	 4.927
 6.480	 4.937
 6.472	 4.948
 6.464	 4.954
 6.456	 4.953
 6.448	 4.955
 6.440	 4.951
 6.432	 4.944
 6.424	 4.939
 6.416	 4.930
 6.408	 4.933
 6.400	 4.932
 6.392	 4.925
 6.384	 4.917
 6.377	 4.905
 6.369	 4.889
 6.361	 4.873
 6.353	 4.855
 6.345	 4.832
 6.338	 4.822
 6.330	 4.813
 6.322	 4.802
 6.314	 4.789
 6.307	 4.782
 6.299	 4.780
 6.291	 4.778
 6.284	 4.772
 6.276	 4.768
 6.269	 4.766
 6.261	 4.766
 6.253	 4.763
 6.246	 4.754
 6.239	 4.752
 6.231	 4.752
 6.223	 4.748
 6.216	 4.744
 6.209	 4.742
 6.201	 4.737
 6.194	 4.728
 6.186	 4.724
 6.179	 4.738
 6.172	 4.747
 6.164	 4.741
 6.157	 4.739
 6.150	 4.743
 6.142	 4.743
 6.135	 4.736
 6.128	 4.736
 6.121	 4.725
 6.113	 4.707
 6.106	 4.697
 6.099	 4.678
 6.092	 4.656
 6.085	 4.635
 6.078	 4.605
 6.070	 4.571
 6.063	 4.538
 6.056	 4.500
 6.049	 4.458
 6.042	 4.449
 6.035	 4.447
 6.028	 4.438
 6.021	 4.428
 6.014	 4.425
 6.007	 4.440
 6.000	 4.457
 5.993	 4.475
 5.986	 4.503
 5.979	 4.530
 5.973	 4.562
 5.966	 4.602
 5.959	 4.642
 5.952	 4.679
 5.945	 4.705
 5.938	 4.726
 5.931	 4.764
 5.925	 4.803
 5.918	 4.829
 5.911	 4.849
 5.904	 4.871
 5.898	 4.888
 5.891	 4.910
 5.884	 4.925
 5.878	 4.945
 5.871	 4.974
 5.864	 4.995
 5.858	 5.016
 5.851	 5.032
 5.845	 5.045
 5.838	 5.057
 5.831	 5.065
 5.825	 5.065
 5.818	 5.078
 5.812	 5.101
 5.805	 5.112
 5.799	 5.120
 5.792	 5.129
 5.786	 5.136
 5.779	 5.137
 5.773	 5.128
 5.767	 5.116
