Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

 7.963	 9.780
 7.951	 8.928
 7.939	 8.105
 7.927	 7.330
 7.915	 6.658
 7.903	 6.045
 7.891	 5.495
 7.879	 4.984
 7.867	 4.518
 7.855	 4.137
 7.843	 3.808
 7.831	 3.515
 7.819	 3.269
 7.808	 3.052
 7.796	 2.846
 7.784	 2.666
 7.772	 2.520
 7.761	 2.363
 7.749	 2.177
 7.737	 1.993
 7.726	 1.824
 7.715	 1.680
 7.703	 1.567
 7.692	 1.429
 7.680	 1.279
 7.669	 1.184
 7.657	 1.102
 7.646	 0.997
 7.635	 0.929
 7.624	 0.875
 7.613	 0.822
 7.601	 0.768
 7.590	 0.715
 7.579	 0.664
 7.568	 0.642
 7.557	 0.620
 7.546	 0.598
 7.535	 0.595
 7.524	 0.578
 7.513	 0.548
 7.502	 0.547
 7.492	 0.530
 7.481	 0.519
 7.470	 0.505
 7.459	 0.484
 7.449	 0.463
 7.438	 0.454
 7.427	 0.450
 7.417	 0.445
 7.406	 0.452
 7.395	 0.449
 7.385	 0.431
 7.374	 0.426
 7.364	 0.434
 7.353	 0.424
 7.343	 0.435
 7.333	 0.445
 7.322	 0.447
 7.312	 0.455
 7.302	 0.462
 7.291	 0.455
 7.281	 0.457
 7.271	 0.449
 7.261	 0.452
 7.251	 0.480
 7.240	 0.486
 7.230	 0.484
 7.220	 0.493
 7.210	 0.492
 7.200	 0.515
 7.190	 0.526
 7.180	 0.511
 7.170	 0.519
 7.160	 0.536
 7.151	 0.535
 7.141	 0.533
 7.131	 0.557
 7.121	 0.593
 7.111	 0.566
 7.102	 0.538
 7.092	 0.564
 7.082	 0.566
 7.072	 0.568
 7.063	 0.571
 7.053	 0.577
 7.044	 0.599
 7.034	 0.605
 7.025	 0.608
 7.015	 0.610
 7.006	 0.606
 6.996	 0.619
 6.987	 0.614
 6.977	 0.608
 6.968	 0.627
 6.959	 0.666
 6.949	 0.662
 6.940	 0.654
 6.931	 0.664
 6.921	 0.676
 6.912	 0.679
 6.903	 0.666
 6.894	 0.671
 6.885	 0.670
 6.875	 0.655
 6.866	 0.665
 6.857	 0.678
 6.848	 0.693
 6.839	 0.684
 6.830	 0.672
 6.821	 0.683
 6.812	 0.685
